Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"Front Brake Pressure Sensor","Bosch Motorsport ABS Pressure Sensor","","electrical","sensor",1,200.00,200.00,"https://www.bosch-motorsport.com/gb/en/products/sensors/pressure-sensors/pressure-sensors.html"
"Rear Brake Pressure Sensor","Bosch Motorsport ABS Pressure Sensor","","electrical","sensor",1,200.00,200.00,"https://www.bosch-motorsport.com/gb/en/products/sensors/pressure-sensors/pressure-sensors.html"
"Throttle Pedal Position Sensor","Vishay 612 Series Hall Effect Pedal Sensor","","electrical","sensor",1,100.00,100.00,"https://www.vishay.com/en/automotive/pedal-position-sensors/"
"External Emergency Stop Button","APEM A01ES-B-00","","electrical","actuator",1,50.00,50.00,"https://www.apem.com/us/products/emergency-stops-a01es-series-en/"
"Safety Status Light Beacon","Federal Signal MicroPulse Ultra","","electrical","display",1,150.00,150.00,"https://www.fedsig.com/products/warning-lights/micro-pulse-ultra-led-warning-lights"
"Tubular Steel Spaceframe Chassis","","The primary structural skeleton of the vehicle, providing mounting points for all major components and suspension.","mechanical","structural",1,1500.00,1500.00,"https://www.homedepot.com/s/chromoly%20tubing"
"Roll Hoop","","Integrated structural element providing driver protection as per Formula Student regulations.","mechanical","structural",1,200.00,200.00,"https://www.homedepot.com/s/chromoly%20tubing"
"Front Aerodynamic Bodywork Panel","Left Mid Aerodynamic Bodywork Panel","Composite panel forming the front aerodynamic surfaces, reducing drag and channeling cooling air.","mechanical","enclosure",1,350.00,350.00,"https://www.amazon.com/s?k=carbon+fiber+sheet"
"Left Mid Aerodynamic Bodywork Panel","","Composite panel forming the left side aerodynamic surfaces, aiding cooling and drag reduction.","mechanical","enclosure",1,250.00,250.00,"https://www.amazon.com/s?k=carbon+fiber+sheet"
"Right Mid Aerodynamic Bodywork Panel","Left Mid Aerodynamic Bodywork Panel","Composite panel forming the right side aerodynamic surfaces, aiding cooling and drag reduction.","mechanical","enclosure",1,250.00,250.00,"https://www.amazon.com/s?k=carbon+fiber+sheet"
"Rear Aerodynamic Bodywork Panel","","Composite panel forming the rear aerodynamic surfaces, managing airflow and exhaust.","mechanical","enclosure",1,300.00,300.00,"https://www.amazon.com/s?k=carbon+fiber+sheet"
"Carbon Fiber Driver Seat","Custom Driver Seat","Lightweight, ergonomically shaped carbon fiber seat for the driver, designed for racing.","mechanical","structural",1,700.00,700.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxwKaGJoiVvtmgBLWsq5h8Dvbr0hzFXFC37CUNHhlCt3Dmx3wuF5UVodvSsflvvlvt7Okv6eYVnPIKWLNRSxut4lWbrpjI2f2qwvub7QuasmJpaXp7aeTa4wLQjN53riidGENKrCoujpqZRpW0IBMoONPs8P3VcRq6yvRjkO0IZakytU2g0i8lrXk4tEiHMvx2KOFZf0AjoTYhXWBVNKImOE6ZDEbv1IfaIMkN9skBAukGu9F4T5ke4Mq6fcd0ZQciQRRNkQrp5U8alScAiWRMWJsPb3S5KJSnHoXdfZMAScDsH7r6QlGUfy4OFZ181ev70z24LV773s9AEw7hjShViCz7NVSGQub4QkJwn2Ea9HzJD8KuwzxDQzokTAJGPJfWD5nmG16BJvyW1zFQFj2Z4VS5kBxBG4RQENVlpXsG6DLRc582hBlWs6Al6TE57NV2SHY4rmcF3Q1ec9EcI6PDd1bm2CcBKrSNOf6Ek5dxMQLwonclQhCiP6voAE4kef7N7efkvLd3GVUkF3rjkKHeKdwUfwq2QKcVFTSwUMXk6BKW6bnUpufAQMBvQ17y5dUqDIMEOfuuUueLVIWRKGdOC4ShxWsw81Q9d7y2UmxsWcSViXnFdimr7ETPWij66IXkJetfOL6DSKSxm6C1t4lzZDt"
"Fixed-Ratio Gearbox","","Gearbox providing a single, fixed reduction ratio for the electric motors driving the rear wheels.","mechanical","mechanism",1,800.00,800.00,"https://www.amazon.com/s?k=fixed+ratio+gearbox+racing"
"Type IV Hydrogen Pressure Vessel","","Composite-wound vessel for storing hydrogen at 350 bar (5000 psi).","mechanical","structural",1,2500.00,2500.00,"https://www.amazon.com/s?k=type+iv+hydrogen+tank"
"Primary Hydrogen Pressure Regulator","Swagelok KPR Series Regulator","First stage pressure regulator reducing high-pressure hydrogen from the tank.","mechanical","mechanism",1,400.00,400.00,"https://www.amazon.com/s?k=high+pressure+hydrogen+regulator"
"Secondary Hydrogen Pressure Regulator","Swagelok KPR Series Regulator","Second stage pressure regulator stepping down hydrogen pressure to fuel cell operating levels.","mechanical","mechanism",1,300.00,300.00,"https://www.amazon.com/s?k=low+pressure+hydrogen+regulator"
"Hydrogen System Ventilated Enclosure","","Dedicated enclosure for the hydrogen storage and regulation system, designed for ventilation and safety.","mechanical","enclosure",1,200.00,200.00,"https://www.homedepot.com/s/aluminum%20sheet%20perforated"
"Racing Steering Wheel","OMP Superquadro Steering Wheel","Driver interface for steering control, with integrated quick-release mechanism.","mechanical","mechanism",1,250.00,250.00,"https://www.amazon.com/dp/B0F5QT18GY?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Steering Column Assembly","Steering Column Assembly","Mechanical linkage connecting the steering wheel to the steering rack.","mechanical","mechanism",1,180.00,180.00,"https://www.amazon.com/dp/B0DD3WJK24?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Brake Pedal Assembly","Floor Mount Brake Pedal Assembly","Mechanical pedal system for actuating the vehicle's braking system.","mechanical","mechanism",1,120.00,120.00,"https://www.amazon.com/dp/B01HD9ZUBE?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Throttle Pedal Assembly","","Mechanical pedal system for controlling the vehicle's acceleration.","mechanical","mechanism",1,100.00,100.00,"https://www.amazon.com/s?k=racing+throttle+pedal+assembly"
"Composite Nose Cone","Composite Nose Cone","Aerodynamic nose cone made from composite material, housing the front sensors.","mechanical","enclosure",1,200.00,200.00,"https://s.click.aliexpress.com/s/fwx308cRD9Eny963e3KDdYxyIpNj8TXVr7saiF9Um5rMUg1kZtJALLnfa2LNXtiVgnxdD8Og6MmvwBoxhnSYQGM6r0c08U4TfX8DFGo7vviCuu3q62Q60OAhRZcqm3G8PtwM69xY7TOEWRrvulP5ukZQ4uQbBBtaVsdr6EffAqVmp3O5GyUANU2DoA3dJufNhDfh7KOlLgKIvRVhDxRESHLmea6fTE26gLUqKEUuuizJiLENrCbax94DZHDu8WhaXM9vQ86gzlqceNPO5w3vwXm4VrBF3x2lAMEl06wgNdTSMiT7cNG4HIdW0JxgLpTDDCIC4q5MTRGPS2Wf4k6MVmVbhkBMebhnoiB7qbpcq6vejG4xvHRzHcydEnG8b1aohGL0Hhn3e9G3VrbLP5uaOvn7xIV7ReEWOsTEiB1YEbEbjlhv8v5vadwG4V5suyjvumWQK4ikw4UIqkEmPrwqbgbIjdXFZhGFBi9nExs5BcS22UbCgSTH8AmLuO9rYiulX7rk7b4B6oHTck8tZepMoQry3hU8XPHZBZv6e83p0uqizVDVM5PWyRtrzKAj7aYRshdh1p4pjrqrv1Xx6AeNF569QHv7ZgHHoCvAujCZjRZhSvDxsWqB59EzcF3AI1hYdH1Rs39cD6qkZwhTVpLBsNZVVd5ohvExF8eJxrfAiwxW5UQ8sxhvL3ulPkACrrXjgOzYStNg8Ta2m3vjzCXXj624Agl29WeELjxJlGCJGKPSTgYgPBGriUtu3kWIIayJUmHoP9u7NI4VQcZIR9w0XttdebqehbSLA5EwhgIVL27i1GW8Qfvq0eBWvry2LYDbe66crAR4Q3zqUfLlS5eVduPpXBvxogHGGrsFVq6R4leL1aOXLFM5vIGoNKOixmcAgdw6D1kD2JZdXNUbCxhKEAKYh2Pg79vocNUI07HGQZ9VbAjE38g5aqA4ZJSGKNyUe4NsBVszR8Kj74yOb1"
"Front Left Suspension Arm Set","Front Left Forged Suspension Arm","Upper and lower suspension arms for the front left wheel.","mechanical","structural",1,300.00,300.00,"https://www.amazon.com/dp/B0BFKL13W8?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Front Right Suspension Arm Set","Front Right Forged Suspension Arm","Upper and lower suspension arms for the front right wheel.","mechanical","structural",1,300.00,300.00,"https://www.amazon.com/dp/B08VKDDSQV?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Rear Left Suspension Arm Set","Rear Left Forged Suspension Arm","Upper and lower suspension arms for the rear left wheel.","mechanical","structural",1,350.00,350.00,"https://www.amazon.com/dp/B07QY8NK75?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Rear Right Suspension Arm Set","Rear Left Forged Suspension Arm","Upper and lower suspension arms for the rear right wheel.","mechanical","structural",1,350.00,350.00,"https://www.amazon.com/dp/B07QY8NK75?tag=blueprintam-20&linkCode=osi&th=1&psc=1"
"Front Left Wheel Assembly","ATS DTC 13x7 Racing Wheel","Complete wheel assembly including rim and tire for the front left.","mechanical","mechanism",1,400.00,400.00,"https://www.amazon.com/s?k=13x7+racing+wheel"
"Front Right Wheel Assembly","ATS DTC 13x7 Racing Wheel","Complete wheel assembly including rim and tire for the front right.","mechanical","mechanism",1,400.00,400.00,"https://www.amazon.com/s?k=13x7+racing+wheel"
"Rear Left Wheel Assembly","ATS DTC 13x8 Racing Wheel","Complete wheel assembly including rim and tire for the rear left.","mechanical","mechanism",1,450.00,450.00,"https://www.amazon.com/s?k=13x8+racing+wheel"
"Rear Right Wheel Assembly","ATS DTC 13x8 Racing Wheel","Complete wheel assembly including rim and tire for the rear right.","mechanical","mechanism",1,450.00,450.00,"https://www.amazon.com/s?k=13x8+racing+wheel"
"Stereo Camera Mount","","Custom mount to securely position the stereo camera above the nose cone for optimal perception.","mechanical","3d_printed",1,5.00,5.00,"https://www.amazon.com/s?k=petg+filament"
"LiDAR Unit Mount","","Custom mount for the LiDAR unit, ensuring stable and clear line of sight for 3D environment mapping.","mechanical","3d_printed",1,7.00,7.00,"https://www.amazon.com/s?k=petg+filament"
"IMU Mount","","Rigid mount for the IMU to minimize vibrations and ensure accurate acceleration and rotation readings.","mechanical","3d_printed",1,2.00,2.00,"https://www.amazon.com/s?k=petg+filament"
"Autonomous Computer Mount","","Mounting bracket for the GPU-accelerated autonomous system-on-module, protecting it from vibrations.","mechanical","3d_printed",1,8.00,8.00,"https://www.amazon.com/s?k=abs+filament"
"Fuel Cell Stack Mount","","Sturdy bracketry to secure the PEM fuel cell stack within the chassis.","mechanical","structural",1,70.00,70.00,"https://www.homedepot.com/s/aluminum%20angle"
"Battery Pack Mount","Heavy Duty Slide-out Battery Tray","Reinforced tray and clamp system to hold the lithium battery pack securely.","mechanical","structural",1,60.00,60.00,"https://www.homedepot.com/s/aluminum%20sheet"
"HV DC/DC Converter Mount","","Mounting solution for the DC/DC converter, providing vibration isolation.","mechanical","3d_printed",1,6.00,6.00,"https://www.amazon.com/s?k=petg+filament"
"Left Motor Controller Mount","","Mounting bracket for the left rear wheel motor controller, assisting in heat dissipation.","mechanical","3d_printed",1,8.00,8.00,"https://www.amazon.com/s?k=abs+filament"
"Right Motor Controller Mount","","Mounting bracket for the right rear wheel motor controller, assisting in heat dissipation.","mechanical","3d_printed",1,8.00,8.00,"https://www.amazon.com/s?k=abs+filament"
"Hydrogen Leak Sensor Mount Front","","Mount for hydrogen leak sensor 1 within the ventilated compartment.","mechanical","3d_printed",1,1.00,1.00,"https://www.amazon.com/s?k=petg+filament"
"Hydrogen Leak Sensor Mount Rear","","Mount for hydrogen leak sensor 2 within the ventilated compartment.","mechanical","3d_printed",1,1.00,1.00,"https://www.amazon.com/s?k=petg+filament"
"Hydrogen Solenoid Valve Mount","","Mount for the hydrogen shutoff solenoid valve, ensuring secure placement.","mechanical","3d_printed",1,3.00,3.00,"https://www.amazon.com/s?k=petg+filament"
"Emergency Brake System MCU Mount","","Mount for the dedicated MCU for the Emergency Brake System.","mechanical","3d_printed",1,4.00,4.00,"https://www.amazon.com/s?k=petg+filament"
"Isolation Monitoring Device Mount","","Mounting bracket for the Isolation Monitoring Device.","mechanical","3d_printed",1,3.00,3.00,"https://www.amazon.com/s?k=petg+filament"
"Brake System Plausibility Device Mount","","Mounting bracket for the Brake System Plausibility Device.","mechanical","3d_printed",1,4.00,4.00,"https://www.amazon.com/s?k=petg+filament"
"Steering Actuator Mount","Aluminum Servo Mount","Robust mount for the steering servo motor, integrated into the chassis.","mechanical","structural",1,40.00,40.00,"https://www.homedepot.com/s/aluminum%20bracket"
"CAN Bus Transceiver Mount (Main)","","Mount for a CAN bus transceiver module.","mechanical","3d_printed",1,2.00,2.00,"https://www.amazon.com/s?k=petg+filament"
"CAN Bus Transceiver Mount (Autonomous)","","Mount for a CAN bus transceiver module for the autonomous system.","mechanical","3d_printed",1,2.00,2.00,"https://www.amazon.com/s?k=petg+filament"
"CAN Bus Transceiver Mount (Safety)","","Mount for a CAN bus transceiver module for the safety architecture.","mechanical","3d_printed",1,2.00,2.00,"https://www.amazon.com/s?k=petg+filament"
"Main ECU Mount","","Custom mount for the main vehicle control unit, providing secure attachment and vibration dampening.","mechanical","3d_printed",1,6.00,6.00,"https://www.amazon.com/s?k=petg+filament"
"LV DC/DC Converter Mount","","Mounting solution for the low voltage DC/DC converter.","mechanical","3d_printed",1,4.00,4.00,"https://www.amazon.com/s?k=petg+filament"
"Main HV Positive Contactor Mount","","Mounting for the main high voltage positive contactor.","mechanical","3d_printed",1,3.00,3.00,"https://www.amazon.com/s?k=abs+filament"
"Main HV Negative Contactor Mount","","Mounting for the main high voltage negative contactor.","mechanical","3d_printed",1,3.00,3.00,"https://www.amazon.com/s?k=abs+filament"
"Safety Light Beacon Mount","","Mount for the safety status light beacon, ensuring visibility.","mechanical","3d_printed",1,2.00,2.00,"https://www.amazon.com/s?k=petg+filament"
"Fuel Cell Management Unit Mount","","Adapter plate for the Fuel Cell Management Unit that bolts to the main chassis with M3 hardware. Includes wire-routing channels.","mechanical","3d_printed",1,2.00,2.00,""
"Steering Actuator (Servo Motor) Mount","","Per-position bracket for the Steering Actuator (Servo Motor) with M3 mounting holes matched to its bolt pattern. Rated for the actuator's continuous torque/load class.","mechanical","3d_printed",1,2.00,2.00,""
"Throttle Pedal Actuator Mount","","Per-position bracket for the Throttle Pedal Actuator with M3 mounting holes matched to its bolt pattern. Rated for the actuator's continuous torque/load class.","mechanical","3d_printed",1,2.00,2.00,""
"Brake Pedal Actuator Mount","","Per-position bracket for the Brake Pedal Actuator with M3 mounting holes matched to its bolt pattern. Rated for the actuator's continuous torque/load class.","mechanical","3d_printed",1,2.00,2.00,""
"Steering Angle Sensor Mount","","Form-fitting cradle for the Steering Angle Sensor that holds the sensing surface in its rated orientation. Snap-fit retention so it can be removed for calibration without tools.","mechanical","3d_printed",1,2.00,2.00,""
"Front Brake Pressure Sensor Mount","","Form-fitting cradle for the Front Brake Pressure Sensor that holds the sensing surface in its rated orientation. Snap-fit retention so it can be removed for calibration without tools.","mechanical","3d_printed",1,2.00,2.00,""
"Rear Brake Pressure Sensor Mount","","Form-fitting cradle for the Rear Brake Pressure Sensor that holds the sensing surface in its rated orientation. Snap-fit retention so it can be removed for calibration without tools.","mechanical","3d_printed",1,2.00,2.00,""
"Throttle Pedal Position Sensor Mount","","Form-fitting cradle for the Throttle Pedal Position Sensor that holds the sensing surface in its rated orientation. Snap-fit retention so it can be removed for calibration without tools.","mechanical","3d_printed",1,2.00,2.00,""
"External Emergency Stop Button Mount","","Per-position bracket for the External Emergency Stop Button with M3 mounting holes matched to its bolt pattern. Rated for the actuator's continuous torque/load class.","mechanical","3d_printed",1,2.00,2.00,""
"Rear Electric Motor","Emrax 228 High Voltage","Electric Motor","motor","Motor",1,17000,17000,""
